city,candidate_party,ticket,ticket_percentage
澎湖縣,台灣團結聯盟,1020,2.43
澎湖縣,時代力量,1361,3.24
澎湖縣,大愛憲改聯盟,44,0.1
澎湖縣,綠黨社會民主黨聯盟,614,1.46
澎湖縣,台灣獨立黨,125,0.29
澎湖縣,無黨團結聯盟,10397,24.82
澎湖縣,新黨,1267,3.02
澎湖縣,健保免費連線,110,0.26
澎湖縣,樹黨,318,0.75
基隆市,民主進步黨,70467,36.63
基隆市,親民黨,17675,9.18
基隆市,自由台灣黨,821,0.42
基隆市,和平鴿聯盟黨,696,0.36
基隆市,軍公教聯盟黨,1487,0.77
基隆市,民國黨,3810,1.98
基隆市,信心希望聯盟,3413,1.77
基隆市,中華統一促進黨,1084,0.56
基隆市,中國國民黨,58429,30.37
基隆市,台灣團結聯盟,4487,2.33
基隆市,時代力量,11652,6.05
基隆市,大愛憲改聯盟,280,0.14
基隆市,綠黨社會民主黨聯盟,4454,2.31
基隆市,台灣獨立黨,488,0.25
基隆市,無黨團結聯盟,743,0.38
基隆市,新黨,9978,5.18
基隆市,健保免費連線,1164,0.6
基隆市,樹黨,1213,0.63
新竹市,民主進步黨,84150,38.14
新竹市,親民黨,15804,7.16
新竹市,自由台灣黨,718,0.32
新竹市,和平鴿聯盟黨,392,0.17
新竹市,軍公教聯盟黨,1338,0.6
新竹市,民國黨,5927,2.68
新竹市,信心希望聯盟,4147,1.88
新竹市,中華統一促進黨,995,0.45
新竹市,中國國民黨,62507,28.33
新竹市,台灣團結聯盟,4638,2.1
新竹市,時代力量,19170,8.69
新竹市,大愛憲改聯盟,282,0.12
新竹市,綠黨社會民主黨聯盟,6574,2.98
新竹市,台灣獨立黨,469,0.21
新竹市,無黨團結聯盟,947,0.42
新竹市,新黨,9837,4.45
新竹市,健保免費連線,1072,0.48
新竹市,樹黨,1616,0.73
嘉義市,民主進步黨,64114,46.37
嘉義市,親民黨,8138,5.88
嘉義市,自由台灣黨,738,0.53
嘉義市,和平鴿聯盟黨,272,0.19
嘉義市,軍公教聯盟黨,1448,1.04
嘉義市,民國黨,1845,1.33
嘉義市,信心希望聯盟,2085,1.5
嘉義市,中華統一促進黨,728,0.52
嘉義市,中國國民黨,33728,24.39
嘉義市,台灣團結聯盟,4689,3.39
嘉義市,時代力量,9484,6.86
嘉義市,大愛憲改聯盟,144,0.1
嘉義市,綠黨社會民主黨聯盟,3459,2.5
嘉義市,台灣獨立黨,274,0.19
嘉義市,無黨團結聯盟,938,0.67
嘉義市,新黨,4928,3.56
嘉義市,健保免費連線,455,0.32
嘉義市,樹黨,778,0.56
臺北市,民主進步黨,571916,39.23
臺北市,親民黨,81981,5.62
臺北市,自由台灣黨,3380,0.23
臺北市,和平鴿聯盟黨,2039,0.13
臺北市,軍公教聯盟黨,8196,0.56
臺北市,民國黨,22033,1.51
臺北市,信心希望聯盟,34151,2.34
臺北市,中華統一促進黨,8048,0.55
臺北市,中國國民黨,415255,28.48
臺北市,台灣團結聯盟,29859,2.04
臺北市,時代力量,89291,6.12
臺北市,大愛憲改聯盟,1310,0.08
臺北市,綠黨社會民主黨聯盟,48852,3.35
臺北市,台灣獨立黨,2409,0.16
臺北市,無黨團結聯盟,4137,0.28
臺北市,新黨,117458,8.05
臺北市,健保免費連線,3504,0.24
臺北市,樹黨,13730,0.94
高雄市,民主進步黨,762933,50.89
高雄市,親民黨,77961,5.2
高雄市,自由台灣黨,5630,0.37
高雄市,和平鴿聯盟黨,3653,0.24
高雄市,軍公教聯盟黨,13255,0.88
高雄市,民國黨,14598,0.97
高雄市,信心希望聯盟,26930,1.79
高雄市,中華統一促進黨,5580,0.37
高雄市,中國國民黨,334073,22.28
高雄市,台灣團結聯盟,43107,2.87
高雄市,時代力量,92323,6.15
高雄市,大愛憲改聯盟,1851,0.12
高雄市,綠黨社會民主黨聯盟,37604,2.5
高雄市,台灣獨立黨,2927,0.19
高雄市,無黨團結聯盟,6981,0.46
高雄市,新黨,57715,3.85
高雄市,健保免費連線,4994,0.33
高雄市,樹黨,6958,0.46
新北市,民主進步黨,916886,43.28
新北市,親民黨,147996,6.98
新北市,自由台灣黨,7127,0.33
新北市,和平鴿聯盟黨,4844,0.22
新北市,軍公教聯盟黨,11610,0.54
新北市,民國黨,27814,1.31
新北市,信心希望聯盟,36352,1.71
新北市,中華統一促進黨,9333,0.44
新北市,中國國民黨,577605,27.26
新北市,台灣團結聯盟,41648,1.96
新北市,時代力量,131052,6.18
新北市,大愛憲改聯盟,2566,0.12
新北市,綠黨社會民主黨聯盟,52957,2.49
新北市,台灣獨立黨,4102,0.19
新北市,無黨團結聯盟,17911,0.84
新北市,新黨,106125,5.0
新北市,健保免費連線,8027,0.37
新北市,樹黨,14408,0.68
臺中市,民主進步黨,600055,41.94
臺中市,親民黨,107852,7.53
臺中市,自由台灣黨,6121,0.42
臺中市,和平鴿聯盟黨,3187,0.22
臺中市,軍公教聯盟黨,9854,0.68
臺中市,民國黨,21685,1.51
臺中市,信心希望聯盟,29648,2.07
臺中市,中華統一促進黨,4950,0.34
臺中市,中國國民黨,389339,27.21
臺中市,台灣團結聯盟,39314,2.74
臺中市,時代力量,104865,7.32
臺中市,大愛憲改聯盟,1934,0.13
臺中市,綠黨社會民主黨聯盟,33466,2.33
臺中市,台灣獨立黨,3728,0.26
臺中市,無黨團結聯盟,5553,0.38
臺中市,新黨,51311,3.58
臺中市,健保免費連線,8037,0.56
臺中市,樹黨,9794,0.68
臺南市,民主進步黨,545694,55.24
臺南市,親民黨,52906,5.35
臺南市,自由台灣黨,5640,0.57
臺南市,和平鴿聯盟黨,2237,0.22
臺南市,軍公教聯盟黨,7091,0.71
臺南市,民國黨,9400,0.95
臺南市,信心希望聯盟,12353,1.25
臺南市,中華統一促進黨,3972,0.4
臺南市,中國國民黨,193140,19.55
臺南市,台灣團結聯盟,27960,2.83
臺南市,時代力量,63172,6.39
臺南市,大愛憲改聯盟,1033,0.1
臺南市,綠黨社會民主黨聯盟,24709,2.5
臺南市,台灣獨立黨,2264,0.22
臺南市,無黨團結聯盟,3705,0.37
臺南市,新黨,24338,2.46
臺南市,健保免費連線,3294,0.33
臺南市,樹黨,4826,0.48
桃園市,民主進步黨,432155,40.55
桃園市,親民黨,79868,7.49
桃園市,自由台灣黨,3252,0.3
桃園市,和平鴿聯盟黨,2461,0.23
桃園市,軍公教聯盟黨,7392,0.69
桃園市,民國黨,21217,1.99
桃園市,信心希望聯盟,18742,1.75
桃園市,中華統一促進黨,5838,0.54
桃園市,中國國民黨,322892,30.29
桃園市,台灣團結聯盟,17570,1.64
桃園市,時代力量,58369,5.47
桃園市,大愛憲改聯盟,1298,0.12
桃園市,綠黨社會民主黨聯盟,34639,3.25
桃園市,台灣獨立黨,2127,0.19
桃園市,無黨團結聯盟,4405,0.41
桃園市,新黨,41191,3.86
桃園市,健保免費連線,5991,0.56
桃園市,樹黨,6286,0.58
